Tiempo,Exp01,Exp02,Exp03,Exp04,Exp05,Exp06,Exp07,Exp08,Exp09,Exp10,Exp11,Exp12,Exp13,Exp14,Exp15
1,6.954902978,8.282677405,14.99848311,15.63033236,18.66909744,12.38373838,24.12794284,22.0885938,16.17738881,17.0374809,17.00026523,10.41744751,8.835719494,8.846099006,16.13946455
2,15.53193602,7.131783205,21.72152,7.441882872,18.37237149,15.32894766,9.40725118,11.59864756,20.1660345,15.64451868,21.13492617,18.22925793,19.05318955,23.34133998,10.60752497
3,16.49266225,11.64871886,23.28483251,17.66619817,24.76076148,24.17978689,16.26539266,19.36782325,19.81014027,7.521285384,18.20847175,23.58970377,23.91148713,17.25557324,10.49728479
4,10.59852025,23.00678474,15.45434684,19.10666585,22.30484889,21.5496541,23.85478532,7.427531521,17.49380724,24.85380564,14.40559827,12.15824286,18.60894498,5.481833456,21.71055351
5,18.97630351,10.16086546,21.76680914,23.74818031,13.07387155,11.60057108,12.95058349,24.1077811,6.839711375,22.09562556,14.82087221,8.940081702,21.44054126,23.38529336,19.75556229
6,18.31470393,5.072703931,6.543413457,7.947367137,14.02674014,6.322326334,20.15623906,6.119065862,20.96583123,15.47107382,18.44079394,20.73031465,8.683776557,20.98226048,13.58407594
7,9.307940665,13.66761083,24.14093718,9.283255871,6.663286567,8.878983291,17.39808255,21.66285524,18.04556927,8.666566604,20.14923459,22.73437026,20.2991158,6.546164285,16.45551154
8,21.03684662,6.358625572,17.6693867,22.96103075,17.12097892,9.986055389,20.34638118,13.38018138,23.91606386,15.79651206,22.00562744,13.58059091,17.14744152,7.091796187,7.816773904
9,19.87549799,8.854440951,21.67934689,11.92384724,20.98735644,11.85112109,24.54371583,5.759524278,14.26503086,17.49683694,7.170617317,18.64617013,12.04270041,12.69029726,24.72784966
10,6.316334481,12.38371477,13.54958525,22.51341926,19.6433699,17.32933824,5.650397302,21.52179784,10.86054269,14.25944925,19.94389884,15.92577917,10.78733538,20.42096239,20.94250888
11,15.99599893,13.73216401,20.98520623,8.132248289,17.0279811,8.206214288,9.535100671,16.66269064,16.10302015,19.66784201,11.61795449,8.409400475,6.168013497,14.06016994,5.291260912
12,8.732517798,7.735607275,24.40822702,12.43431752,14.10902823,18.72779384,7.332451907,13.92113983,23.11851666,16.00989181,16.02216653,23.50087926,23.9581904,5.776885275,16.52864821
13,10.69637726,10.31109389,18.84397777,17.20140299,19.91725312,8.750612092,21.58974904,9.900939702,6.079991306,15.26637911,12.85317488,11.39083504,22.04502297,15.29896342,19.6870982
14,6.724132853,20.89369128,15.04465627,15.71954162,18.64575041,8.024327153,17.23530549,18.13911345,9.240277638,10.11409477,17.96764067,12.28220533,15.92641869,24.25270181,8.655358919
15,24.72677548,20.76917409,12.87157666,17.66383069,20.31790551,10.55128307,16.64719631,10.81786488,21.20976503,15.85331123,13.3067074,23.19399521,18.3096357,8.554975311,17.69110158
16,5.443298127,20.57567664,5.408115522,5.864344097,22.81611154,9.726937474,9.430849369,22.59761654,16.44237331,19.96025638,10.44207389,17.94593639,19.24231637,6.795237929,5.69286819
17,11.44956599,18.35461955,18.415754,12.71077703,6.092925945,24.92147527,22.50520973,19.09146674,16.08087384,12.6023481,24.55059364,5.725997506,14.64243506,5.75667966,24.0116007
18,22.38630645,5.380967661,16.29739802,16.74778693,18.11009406,11.2912045,20.94031482,24.44801903,9.115290985,6.635563428,20.81802427,22.23941383,13.5636789,7.649582079,13.39777853
19,15.04855734,12.64414917,10.47553656,23.30759849,7.679320718,14.50912585,11.1007347,19.08371431,20.68940766,9.161987393,7.640052546,24.24326538,14.40588902,6.672315113,19.88202671
20,23.77435772,10.4052486,5.273106177,19.10238693,20.98807153,16.44841023,15.71130246,6.502307424,18.8201668,16.65916007,20.17161868,15.0165708,16.57431242,11.31729891,7.045374091
21,19.86026285,24.4133907,5.121493512,11.05552715,9.303962071,21.55486231,7.239611046,24.73774755,20.71307631,10.90101417,7.175683314,21.16340568,19.1722968,17.78312717,13.54313835
22,22.68181197,20.63628515,12.74917039,17.70986582,21.99846205,13.76093979,11.10732706,8.676568945,19.73073785,20.12875164,5.902689374,23.08762404,21.91056576,5.949923748,22.15054829
23,17.59578157,16.35470131,14.577066,23.2739116,21.7798745,10.12495675,6.787846999,16.80611143,23.57514787,9.982216679,23.09086945,23.55901743,7.806158782,12.28368279,12.72061988
24,9.752844807,8.550362194,11.65494418,10.75778039,6.809844747,14.710604,6.598012088,16.74037547,16.94602449,24.12057288,5.724141498,24.21724667,13.91209775,23.07397762,8.255290356
25,21.78934661,7.115318944,10.82772996,8.356072046,5.364050211,23.41482391,13.30135257,23.01540448,16.28480171,7.463063281,9.347897708,23.11475698,20.61974223,24.99431524,19.15488869
26,12.40978092,18.05825552,12.99818402,11.36624577,13.03980812,23.54172813,23.81560587,8.846536752,15.51492511,23.37462205,23.39486473,23.64065569,20.90031064,19.61640499,14.16854924
27,12.53772145,21.05641566,7.764862699,21.35280764,9.174002053,24.7812044,11.78800513,18.71207452,13.94238664,14.11840528,7.49667062,13.35043574,8.027360624,7.998982695,21.52943237
28,7.680768148,6.841842711,13.95493355,24.25890268,9.009338988,16.54153184,14.01114571,24.11493232,5.145467902,19.74898302,20.17896983,14.26727694,14.61588219,12.17463605,19.38486567
29,20.52267428,20.74822702,14.34326637,20.59579293,23.98102613,11.5951133,7.859423902,16.75567425,7.556288271,11.88816441,19.36188361,18.80902633,14.72316838,16.82992805,19.97220453
30,19.37246535,13.89909777,21.06591924,19.44495509,11.92707969,18.08292177,9.789121498,10.23121378,15.44803131,9.155934271,15.44487587,18.39425659,6.560936266,24.62016587,5.373810017
